zip,city,district,federalstate
2421,Kittsee,Neusiedl am See,bl
2422,Pama,Neusiedl am See,bl
2423,Deutsch Jahrndorf,Neusiedl am See,bl
2424,Zurndorf,Neusiedl am See,bl
2425,Nickelsdorf,Neusiedl am See,bl
2473,Potzneusiedl,Bruck/Leitha,bl
2473,Potzneusiedl,Neusiedl am See,bl
2474,Gattendorf,Neusiedl am See,bl
2475,Neudorf,Neusiedl am See,bl
2491,Neufeld an der Leitha,Eisenstadt-Umgebung,bl
2491,Neufeld an der Leitha,Wiener Neustadt(Land),bl
7000,Eisenstadt,Eisenstadt(Stadt),bl
7011,Siegendorf,Eisenstadt-Umgebung,bl
7012,Zagersdorf,Eisenstadt-Umgebung,bl
7013,Klingenbach,Eisenstadt-Umgebung,bl
7020,Loipersbach im Burgenland,Mattersburg,bl
7021,Draßburg,Mattersburg,bl
7022,Schattendorf,Mattersburg,bl
7023,Zemendorf,Mattersburg,bl
7024,Hirm,Mattersburg,bl
7025,Pöttelsdorf,Mattersburg,bl
7031,Krensdorf,Mattersburg,bl
7032,Sigleß,Mattersburg,bl
7033,Pöttsching,Mattersburg,bl
7033,Pöttsching,Eisenstadt-Umgebung,bl
7034,Zillingtal,Eisenstadt-Umgebung,bl
7035,Steinbrunn,Eisenstadt-Umgebung,bl
7041,Wulkaprodersdorf,Eisenstadt-Umgebung,bl
7042,Antau,Mattersburg,bl
7051,Großhöflein,Eisenstadt-Umgebung,bl
7052,Müllendorf,Eisenstadt-Umgebung,bl
7053,Hornstein,Eisenstadt-Umgebung,bl
7061,Trausdorf an der Wulka,Eisenstadt-Umgebung,bl
7062,St. Margarethen im Burgenland,Eisenstadt-Umgebung,bl
7063,Oggau,Eisenstadt-Umgebung,bl
7064,Oslip,Eisenstadt-Umgebung,bl
7071,Rust,Rust(Stadt),bl
7072,Mörbisch am See,Eisenstadt-Umgebung,bl
7081,Schützen am Gebirge,Eisenstadt-Umgebung,bl
7082,Donnerskirchen,Eisenstadt-Umgebung,bl
7083,Purbach am Neusiedler See,Eisenstadt-Umgebung,bl
7091,Breitenbrunn am Neusiedler See,Eisenstadt-Umgebung,bl
7092,Winden am See,Neusiedl am See,bl
7093,Jois,Neusiedl am See,bl
7100,Neusiedl am See,Neusiedl am See,bl
7111,Parndorf,Neusiedl am See,bl
7121,Weiden am See,Neusiedl am See,bl
7122,Gols,Neusiedl am See,bl
7123,Mönchhof,Neusiedl am See,bl
7131,Halbturn,Neusiedl am See,bl
7132,Frauenkirchen,Neusiedl am See,bl
7141,Podersdorf am See,Neusiedl am See,bl
7142,Illmitz,Neusiedl am See,bl
7143,Apetlon,Neusiedl am See,bl
